1990,Privately held,501
1991,Privately held,503
1987,Privately held,1459
1988,Privately held,655
1989,Privately held,1459
1990,Privately held,734
1991,Privately held,512
1992,Privately held,600
1993,Privately held,493
1994,Privately held,152
1995,Privately held,240
1989,Privately held,509
1990,Privately held,425
1991,Privately held,413
1992,Privately held,449
1993,Privately held,428
1994,Privately held,302
1995,Privately held,176
1989,Privately held,165
1990,Privately held,54
1987,Privately held,312
1988,Privately held,299
1989,Privately held,312
1990,Privately held,55
1987,Privately held,462
1988,Privately held,13
1989,Privately held,8
1990,Privately held,15
1993,Privately held,9
1994,Privately held,12
1995,Privately held,6
1994,Privately held,3
1995,Privately held,4
1996,Privately held,3
1992,Privately held,88
1993,Privately held,87
1994,Privately held,123
1995,Privately held,120
1996,Privately held,95
1990,Privately held,81
1991,Privately held,104
1992,Privately held,257
1994,Privately held,116
1995,Privately held,68
1996,Privately held,73
1997,Privately held,70
1990,Privately held,289
1991,Privately held,394
1992,Privately held,342
1993,Privately held,359
1994,Privately held,248
1995,Privately held,165
1987,Privately held,45
1988,Privately held,45
1989,Privately held,45
1990,Privately held,60
1994,Privately held,22
1995,Privately held,16
1995,Privately held,15
1996,Privately held,8
1988,Privately held,150
1989,Privately held,150
1990,Privately held,35
1991,Privately held,545
1992,Privately held,252
1993,Privately held,224
1994,Privately held,288
1995,Privately held,174
1996,Privately held,204
1997,Privately held,326
1998,Privately held,443
1999,Privately held,451
2000,Privately held,433
2001,Privately held,486
2002,Privately held,395
2003,Privately held,390
2004,Privately held,389
